0.000    77.35854875
0.005    77.3524982955
0.010    77.3343528409
0.015    77.3041180682
0.020    77.2618093182
0.025    77.2074432955
0.030    77.1410447727
0.035    77.0626419318
0.040    76.9722692045
0.045    76.8699667045
0.050    76.7557796591
0.055    76.6297567045
0.060    76.49195375
0.065    76.3424303409
0.070    76.1812530682
0.075    76.0084909091
0.080    75.8242203409
0.085    75.6285217045
0.090    75.4214814773
0.095    75.2031880682
0.100    74.9737372727
0.105    74.7332313636
0.110    74.4817744318
0.115    74.2194757955
0.120    73.9464497727
0.125    73.6628163636
0.130    73.3686989773
0.135    73.0642272727
0.140    72.7495327273
0.145    72.4247529545
0.150    72.0900303409
0.155    71.7455109091
0.160    71.3913444318
0.165    71.0276870455
0.170    70.6546956818
0.175    70.2725348864
0.180    69.8813694318
0.185    69.4813709091
0.190    69.0727151136
0.195    68.6555777273
0.200    68.2301425
0.205    68.8135446591
0.210    69.3757779545
0.215    69.9166890909
0.220    70.4361369318
0.225    70.6733559091
0.230    70.8926002273
0.235    71.0938577273
0.240    71.2771284091
0.245    71.2006017045
0.250    71.10988625
0.255    71.0050870455
0.260    70.8863219318
0.265    69.9100628409
0.270    68.9342597727
0.275    67.9592680682
0.280    66.9854401136
0.285    66.0131259091
0.290    65.0426705682
0.295    64.0744176136
0.300    63.1087025
0.305    62.14586125
0.310    61.1862230682
0.315    60.2301128409
0.320    59.2778507955
0.325    58.3297539773
0.330    57.3861345455
0.335    56.447295
0.340    55.5135393182
0.345    54.5851634091
0.350    53.662455
0.355    52.7457001136
0.360    51.8351777273
0.365    50.9311592045
0.370    50.0339143182
0.375    49.1437007955
0.380    48.2607748864
0.385    47.7148359091
0.390    47.1688311364
0.395    46.6230127273
0.400    46.0776281818
0.405    45.5329270455
0.410    44.9891602273
0.415    44.4465753409
0.420    43.9054226136
0.425    43.3659504545
0.430    42.8284046591
0.435    42.2930306818
0.440    41.76007625
0.445    41.2297851136
0.450    40.70239875
0.455    40.17815875
0.460    39.6573036364
0.465    39.1400709091
0.470    38.6266954545
0.475    38.1174092045
0.480    37.6124436364
0.485    37.11202375
0.490    36.6163747727
0.495    36.1257159091
0.500    35.6402655682
